iter	Passed	Remaining
416	2677	3743
417	2690	3746
418	2697	3740
419	2703	3733
420	2709	3727
421	2715	3719
422	2723	3714
423	2729	3707
424	2735	3701
425	2741	3694
426	2752	3693
427	2757	3685
428	2762	3677
429	2783	3690
430	2790	3683
431	2796	3677
432	2803	3670
433	2809	3664
434	2817	3660
435	2825	3654
436	2847	3669
437	2853	3661
438	2860	3655
439	2876	3661
440	2883	3655
441	2889	3647
442	2895	3641
443	2902	3634
444	2907	3626
445	2915	3621
446	2922	3615
447	2930	3611
448	2939	3607
449	2947	3602
450	2955	3597
451	2963	3592
452	2970	3587
453	2977	3581
454	2984	3574
455	3001	3580
456	3007	3573
457	3014	3567
458	3019	3559
459	3026	3552
460	3033	3546
461	3039	3539
462	3046	3533
463	3051	3525
464	3058	3518
465	3063	3511
466	3069	3503
467	3076	3497
468	3082	3490
469	3092	3486
470	3097	3479
471	3104	3472
472	3123	3479
473	3130	3473
474	3136	3467
475	3143	3460
476	3148	3452
477	3155	3445
478	3160	3437
479	3165	3429
480	3181	3432
481	3187	3425
482	3193	3417
483	3198	3410
484	3204	3403
485	3210	3395
486	3215	3387
487	3222	3380
488	3229	3375
489	3245	3378
490	3252	3371
491	3258	3364
492	3264	3357
493	3276	3356
494	3282	3348
495	3288	3342
496	3294	3334
497	3299	3326
498	3305	3319
499	3311	3311
500	3316	3303
501	3322	3296
502	3327	3288
503	3334	3281
504	3339	3273
505	3345	3266
506	3351	3259
507	3357	3251
508	3363	3244
509	3385	3253
510	3392	3246
511	3398	3239
512	3404	3231
513	3409	3223
514	3431	3231
515	3437	3224
516	3443	3216
517	3449	3209
518	3455	3202
519	3460	3194
520	3467	3187
521	3472	3179
522	3478	3172
523	3484	3165
524	3489	3157
525	3496	3150
526	3502	3143
527	3509	3136
528	3516	3130
529	3521	3122
530	3527	3115
531	3533	3108
532	3540	3102
533	3548	3096
534	3555	3089
535	3561	3082
536	3567	3075
537	3572	3068
538	3580	3062
539	3587	3055
540	3593	3048
541	3600	3042
542	3606	3035
543	3615	3030
544	3621	3023
545	3629	3017
546	3634	3010
547	3640	3002
548	3649	2997
549	3654	2990
550	3662	2984
551	3669	2977
552	3676	2971
553	3682	2964
554	3688	2957
555	3696	2952
556	3703	2945
557	3710	2939
558	3717	2932
559	3723	2925
560	3729	2918
561	3736	2911
562	3743	2905
563	3749	2898
564	3755	2891
565	3761	2884
566	3768	2877
567	3774	2870
568	3781	2864
569	3787	2857
570	3793	2849
571	3799	2842
572	3805	2835
573	3811	2828
574	3817	2821
575	3824	2815
576	3830	2808
577	3836	2800
578	3843	2794
579	3848	2786
580	3855	2780
581	3861	2773
582	3878	2773
583	3885	2767
584	3891	2760
585	3897	2753
586	3904	2747
587	3911	2740
588	3918	2733
589	3924	2727
590	3930	2719
591	3936	2713
592	3943	2706
593	3954	2703
594	3960	2695
595	3966	2688
596	3972	2681
597	3978	2674
598	3984	2667
599	3989	2659
600	3994	2652
601	4001	2645
602	4006	2637
603	4012	2630
604	4018	2623
605	4024	2616
606	4030	2609
607	4036	2602
608	4041	2594
609	4048	2588
610	4063	2586
611	4071	2581
612	4077	2574
613	4095	2574
614	4101	2567
615	4106	2560
616	4113	2553
617	4118	2545
618	4123	2538
619	4130	2531
620	4136	2524
621	4141	2517
622	4148	2510
623	4154	2503
624	4160	2496
625	4167	2489
626	4173	2482
627	4179	2475
628	4185	2468
629	4190	2461
630	4197	2454
631	4203	2447
632	4208	2439
633	4214	2432
634	4219	2425
635	4224	2418
636	4230	2411
637	4236	2403
638	4241	2396
639	4247	2389
640	4252	2381
641	4257	2374
642	4263	2367
643	4268	2359
644	4274	2352
645	4279	2345
646	4284	2337
647	4291	2331
648	4310	2331
649	4316	2324
650	4322	2317
651	4328	2310
652	4333	2302
653	4339	2295
654	4344	2288
655	4349	2280
656	4354	2273
657	4359	2266
658	4365	2258
659	4370	2251
660	4376	2244
661	4381	2237
662	4387	2230
663	4392	2222
664	4398	2215
665	4404	2209
666	4410	2201
667	4416	2194
668	4421	2187
669	4426	2180
670	4432	2173
671	4438	2166
672	4443	2159
673	4449	2152
674	4455	2145
675	4460	2137
676	4465	2130
677	4470	2123
678	4475	2115
679	4481	2108
680	4486	2101
681	4494	2095
682	4499	2088
683	4505	2081
684	4510	2074
685	4515	2066
686	4520	2059
687	4525	2052
688	4531	2045
689	4541	2040
690	4546	2033
691	4552	2026
692	4557	2019
693	4573	2016
694	4578	2009
695	4585	2002
696	4591	1995
697	4597	1989
698	4603	1982
699	4609	1975
700	4615	1968
701	4621	1962
702	4627	1954
703	4633	1948
704	4638	1941
705	4644	1934
706	4651	1927
707	4657	1920
708	4663	1914
709	4669	1907
710	4675	1900
711	4681	1893
712	4687	1886
713	4693	1880
714	4699	1873
715	4704	1866
716	4709	1859
717	4715	1851
718	4720	1844
719	4725	1837
720	4731	1830
721	4736	1823
722	4741	1816
723	4747	1809
724	4755	1803
725	4761	1796
726	4766	1789
