iter	Logloss
0	0.6787242103
1	0.6637448295
2	0.6515553972
3	0.6398148481
4	0.6289056067
5	0.6163127274
6	0.6071424604
7	0.5979149282
8	0.5891827777
9	0.5806617248
10	0.5728694989
11	0.5647886965
12	0.5575496237
13	0.5509028039
14	0.5450386207
15	0.5388140079
16	0.5328924423
17	0.5274852987
18	0.5214141586
19	0.5150247833
20	0.5101105786
21	0.5058013009
22	0.5016814634
23	0.4969702639
24	0.4935192492
25	0.4897355125
26	0.4861367774
27	0.4823417993
28	0.4789100805
29	0.4760040455
30	0.4732989171
31	0.4710690018
32	0.4687057144
33	0.4664901171
34	0.4642132987
35	0.4623924033
36	0.4602945757
37	0.4583362001
38	0.4563671404
39	0.4544728675
40	0.4520493588
41	0.450148793
42	0.4479026005
43	0.4458463593
44	0.4443615304
45	0.4426285098
46	0.4412075563
47	0.4397610061
48	0.4381765271
49	0.4370410004
50	0.43549044
51	0.4344395196
52	0.4334805239
53	0.4325234415
54	0.4316312412
55	0.43060759
56	0.4298242068
57	0.4290212938
58	0.4278219761
59	0.4270110937
60	0.4262481164
61	0.4255719487
62	0.4248128037
63	0.4238803606
64	0.4230490222
65	0.4223124752
66	0.4216673991
67	0.4210665309
68	0.4202166972
69	0.4195002784
70	0.4188122708
71	0.4181829729
72	0.4176805789
73	0.4172449741
74	0.4167166197
75	0.4162471279
76	0.4157189603
77	0.4151717864
78	0.4146849703
79	0.414141055
80	0.4135538422
81	0.413032658
82	0.4125310407
83	0.4118753193
84	0.4113564388
85	0.4110191204
86	0.4105159868
87	0.4099055237
88	0.4095103839
89	0.4091007961
90	0.4088109748
91	0.4084047812
92	0.407884202
93	0.407530767
94	0.4071565247
95	0.4068453009
96	0.4064934412
97	0.4061476893
98	0.4057918582
99	0.4056140844
100	0.4053708004
101	0.4050964131
102	0.4048874679
103	0.4046526735
104	0.4042372217
105	0.4039995799
106	0.4036837584
107	0.4034290148
108	0.4031259959
109	0.4028944329
110	0.4025166394
111	0.4022951592
112	0.4020215386
113	0.4017827036
114	0.4014985777
115	0.40123172
116	0.4008753404
117	0.4006315755
118	0.4004223163
119	0.4001892982
120	0.3998742301
121	0.3995970729
122	0.3993882885
123	0.3992330174
124	0.398959342
125	0.3986091803
126	0.3983272748
127	0.3980886158
128	0.397860202
129	0.3975675474
130	0.3973528553
131	0.3971416464
132	0.3968495593
133	0.3966506429
134	0.3963945362
135	0.3961828899
136	0.3959102027
137	0.3956094237
138	0.3954477864
139	0.3951529978
140	0.3948894913
141	0.3946548665
142	0.394483092
143	0.3942944562
144	0.3940990665
145	0.3939190632
146	0.3937601734
147	0.3935339998
148	0.3932913821
149	0.3931100561
150	0.3929944201
151	0.3928142452
152	0.3926217803
153	0.3922697593
154	0.3921688543
155	0.3919483969
156	0.3917204015
157	0.3915369727
158	0.3913329743
159	0.3911093793
160	0.3910419861
161	0.3908314992
162	0.3907237141
163	0.3905130788
164	0.3903079374
165	0.3900625997
166	0.389918238
167	0.3897646957
168	0.3896237245
169	0.3894296851
170	0.3892001021
171	0.3890303026
172	0.3888594432
173	0.3886070782
174	0.3884589232
175	0.3883056382
